Level,Required,FirstPlace
0,60,10
1,90,10
2,170,20
3,260,30
4,340,35
5,440,45
6,530,55
7,630,65
8,740,75
9,830,85
10,851,95
11,873,105
12,894,120
13,917,130
14,940,140
15,963,155
16,987,165
17,"1,012",175
18,"1,037",190
19,"1,063",200
20,"1,090",215
21,"1,117",225
22,"1,145",240
23,"1,173",250
24,"1,203",265
25,"1,233",275
26,"1,263",290
27,"1,295",300
28,"1,327",315
29,"1,361",330
30,"1,395",340
31,"1,429",355
32,"1,465",370
33,"1,502",385
34,"1,539",395
35,"1,578",410
36,"1,617",425
37,"1,658",440
38,"1,699",450
39,"1,741",465
40,"1,785",480
41,"1,830",495
42,"1,875",510
43,"1,922",525
44,"1,970",535
45,"2,020",550
46,"2,070",565
47,"2,122",580
48,"2,175",595
49,"2,229",610
50,"2,285",625
51,"2,342",640
52,"2,400",655
53,"2,460",670
54,"2,522",685
55,"2,585",700
56,"2,650",715
57,"2,716",730
58,"2,784",745
59,"2,853",760
60,"2,925",775
61,"2,998",790
62,"3,073",805
63,"3,149",820
64,"3,228",835
65,"3,309",855
66,"3,392",870
67,"3,476",885
68,"3,563",900
69,"3,652",915
70,"3,744",930
71,"3,837",945
72,"3,933",965
73,"4,031",980
74,"4,132",995
75,"4,235","1,010"
76,"4,341","1,025"
77,"4,450","1,045"
78,"4,561","1,060"
79,"4,675","1,075"
80,,"1,090"
81,,"1,110"
82,,"1,125"
83,,"1,140"
84,,"1,160"
