Level,Required,FirstPlace
0,80,10
1,130,15
2,240,25
3,350,35
4,470,50
5,610,65
6,740,75
7,880,90
8,"1,020",105
9,"1,160",120
10,"1,189",135
11,"1,219",150
12,"1,250",165
13,"1,281",180
14,"1,313",195
15,"1,346",210
16,"1,379",230
17,"1,414",245
18,"1,449",
19,"1,485",
20,"1,523",
21,"1,561",
22,"1,600",
23,"1,640",
24,"1,681",
25,"1,723",
26,"1,766",
27,"1,810",
28,"1,855",
29,"1,901",
30,"1,949",
31,"1,998",
32,"2,047",
33,"2,099",
34,"2,151",
35,"2,205",
36,"2,260",
37,"2,316",
38,"2,374",
39,"2,434",
40,"2,495",
41,"2,557",
42,"2,621",
43,"2,686",
44,"2,753",
45,"2,822",
46,"2,893",
47,"2,965",
48,"3,039",
49,"3,115",
50,"3,193",
51,"3,273",
52,"3,355",
53,"3,439",
54,"3,524",
55,"3,613",
56,"3,703",
57,"3,795",
58,"3,890",
59,"3,988",
60,"4,087",
61,"4,189",
62,"4,294",
63,"4,401",
64,"4,511",
65,"4,624",
66,"4,740",
67,"4,858",
68,"4,980",
69,"5,104",
70,"5,232",
71,"5,363",
72,"5,497",
73,"5,634",
74,"5,775",
75,"5,919",
76,"6,067",
77,"6,219",
78,"6,374",
79,"6,534",
