Level,Required,FirstPlace
0,40,5
1,60,10
2,120,15
3,170,20
4,220,25
5,290,30
6,360,40
7,420,45
8,490,50
9,550,60
10,564,65
11,578,70
12,593,80
13,608,85
14,623,95
15,638,
16,654,
17,671,
18,687,
19,705,
20,722,
21,740,
22,759,
23,778,
24,797,
25,817,
26,837,
27,858,
28,880,
29,902,
30,924,
31,947,
32,971,
33,995,
34,"1,020",
35,"1,046",
36,"1,072",
37,"1,099",
38,"1,126",
39,"1,154",
40,"1,183",
41,"1,213",
42,"1,243",
43,"1,274",
44,"1,306",
45,"1,338",
46,"1,372",
47,"1,406",
48,"1,441",
49,"1,477",
50,"1,514",
51,"1,552",
52,"1,591",
53,"1,631",
54,"1,671",
55,"1,713",
56,"1,756",
57,"1,800",
58,"1,845",
59,"1,891",
60,"1,938",
61,"1,987",
62,"2,036",
63,"2,087",
64,"2,139",
65,"2,193",
66,"2,248",
67,"2,304",
68,"2,361",
69,"2,420",
70,"2,481",
71,"2,543",
72,"2,606",
73,"2,672",
74,"2,738",
75,"2,807",
76,"2,877",
77,"2,949",
78,"3,023",
79,"3,098",
80,"2,945",
81,"3,018",
82,"3,094",
83,"3,171",
84,"3,250",
85,"3,332",
86,"3,415",
87,"3,500",
88,"3,588",
89,"3,677",
90,"3,769",
91,"3,864",
92,"3,960",
93,"4,059",
94,"4,161",
95,"4,265",
96,"4,371",
97,"4,480",
98,"4,592",
99,"4,707",
