Level,Required,FirstPlace
0,80,10
1,120,15
2,230,25
3,340,35
4,450,45
5,580,60
6,710,75
7,850,85
8,980,100
9,"1,110",115
10,"1,138",130
11,"1,167",145
12,"1,196",160
13,"1,226",170
14,"1,256",190
15,"1,288",205
16,"1,320",220
17,"1,353",235
18,"1,387",250
19,"1,421",265
20,"1,457",
21,"1,493",
22,"1,531",
23,"1,569",
24,"1,608",
25,"1,648",
26,"1,689",
27,"1,732",
28,"1,775",
29,"1,819",
30,"1,865",
31,"1,911",
32,"1,959",
33,"2,008",
34,"2,058",
35,"2,110",
36,"2,163",
37,"2,217",
38,"2,272",
39,"2,329",
40,"2,387",
41,"2,447",
42,"2,508",
43,"2,571",
44,"2,635",
45,"2,701",
46,"2,768",
47,"2,837",
48,"2,908",
49,"2,981",
50,"3,055",
51,"3,132",
52,"3,210",
53,"3,290",
54,"3,373",
55,"3,457",
56,"3,543",
57,"3,632",
58,"3,723",
59,"3,816",
60,"3,911",
61,"4,009",
62,"4,109",
63,"4,212",
64,"4,317",
65,"4,425",
66,"4,536",
67,"4,649",
68,"4,765",
69,"4,884",
70,"5,006",
71,"5,132",
72,"5,260",
73,"5,391",
74,"5,526",
75,"5,664",
76,"5,806",
77,"5,951",
78,"6,100",
79,"6,252",
