Level,Required,FirstPlace
0,50,5
1,70,10
2,130,15
3,200,20
4,270,30
5,330,35
6,420,45
7,490,50
8,570,60
9,650,65
10,667,75
11,683,85
12,700,95
13,718,100
14,736,110
15,754,120
16,773,130
17,792,140
18,812,150
19,833,155
20,853,165
21,875,175
22,897,185
23,919,195
24,942,205
25,965,215
26,990,225
27,"1,014",235
28,"1,040",245
29,"1,066",255
30,"1,092",265
31,"1,120",275
32,"1,147",285
33,"1,176",300
34,"1,206",310
35,"1,236",320
36,"1,267",330
37,"1,298",340
38,"1,331",350
39,"1,364",365
40,"1,398",375
41,"1,433",385
42,"1,469",395
43,"1,505",405
44,"1,543",420
45,"1,582",430
46,"1,621",440
47,"1,662",450
48,"1,703",465
49,"1,746",475
50,"1,789",485
51,"1,834",500
52,"1,880",510
53,"1,927",520
54,"1,975",535
55,"2,025",545
56,"2,075",555
57,"2,127",570
58,"2,180",580
59,"2,235",590
60,"2,290",605
61,"2,348",615
62,"2,406",630
63,"2,467",640
64,"2,528",650
65,"2,591",665
66,"2,656",675
67,"2,723",690
68,"2,791",700
69,"2,860",715
70,"2,932",725
71,"3,005",735
72,"3,080",750
73,"3,157",760
74,"3,236",775
75,"3,317",785
76,"3,400",800
77,"3,485",810
78,"3,572",825
79,"3,661",835
80,"3,661",850
81,"3,753",860
82,"3,847",875
83,"3,943",890
84,"4,041",900
85,"4,142",915
86,"4,246",925
87,"4,352",940
88,"4,461",950
89,"4,572",965
90,"4,687",975
91,"4,804",990
92,"4,924","1,005"
93,"5,047","1,015"
94,"5,173","1,030"
95,"5,303","1,040"
96,"5,435","1,055"
97,"5,571","1,070"
98,"5,710","1,080"
99,"5,853","1,095"
100,"5,999","1,110"
