Level,Required,FirstPlace
0,90,10
1,150,15
2,260,30
3,390,40
4,540,55
5,670,70
6,830,85
7,990,100
8,"1,140",115
9,"1,300",130
10,"1,333",150
11,"1,366",165
12,"1,400",185
13,"1,435",200
14,"1,471",220
15,"1,508",235
16,"1,546",255
17,"1,584",275
18,"1,624",295
19,"1,665",310
20,"1,706",330
21,"1,749",350
22,"1,793",370
23,"1,837",390
24,"1,883",410
25,"1,930",430
26,"1,979",450
27,"2,028",470
28,"2,079",490
29,"2,131",510
30,"2,184",530
31,"2,239",550
32,"2,294",575
33,"2,352",595
34,"2,411",615
35,"2,471",635
36,"2,533",660
37,"2,596",680
38,"2,661",700
39,"2,727",725
40,"2,796",745
41,"2,865",770
42,"2,937",790
43,"3,010",810
44,"3,086",835
45,"3,163",855
46,"3,242",880
47,"3,323",905
48,"3,406",925
49,"3,491",950
50,"3,578",970
51,"3,668",995
52,"3,759",1015
53,"3,853",1040
54,"3,950",1065
55,"4,049",1085
56,"4,150",1110
57,"4,253",1135
58,"4,360",1160
59,"4,469",1180
60,"4,580",1205
61,"4,695",1230
62,"4,812",1255
63,"4,933",1275
64,"5,056",1300
65,"5,182",1325
66,"5,312",1350
67,"5,445",1375
68,"5,581",1400
69,"5,720",1425
70,"5,863",1450
71,"6,010",1470
72,"6,160",1500
73,"6,314",1520
74,"6,472",1545
75,"6,634",1570
76,"6,799",1595
77,"6,969",1620
78,"7,144",1650
79,"7,322",1670
80,,"1,695"
81,,"1,725"
82,,"1,750"
83,,"1,775"
84,,"1,800"
85,,"1,825"
86,,"1,850"
87,,"1,875"
88,,"1,900"
89,,"1,930"
90,,"1,955"
91,,"1,980"
