Level,Required,FirstPlace
0,80,10
1,130,15
2,240,25
3,350,35
4,470,50
5,610,65
6,740,75
7,880,90
8,"1,020",105
9,"1,160",120
10,"1,189",135
11,"1,219",150
12,"1,250",165
13,"1,281",180
14,"1,313",195
15,"1,346",210
16,"1,379",230
17,"1,414",245
18,"1,449",260
19,"1,485",280
20,"1,523",295
21,"1,561",310
22,"1,600",330
23,"1,640",350
24,"1,681",365
25,"1,723",385
26,"1,766",400
27,"1,810",420
28,"1,855",440
29,"1,901",455
30,"1,949",475
31,"1,998",495
32,"2,047",510
33,"2,099",530
34,"2,151",550
35,"2,205",570
36,"2,260",590
37,"2,316",605
38,"2,374",625
39,"2,434",645
40,"2,495",665
41,"2,557",685
42,"2,621",705
43,"2,686",725
44,"2,753",745
45,"2,822",765
46,"2,893",785
47,"2,965",805
48,"3,039",825
49,"3,115",845
50,"3,193",865
51,"3,273",890
52,"3,355",910
53,"3,439",930
54,"3,524",950
55,"3,613",970
56,"3,703",990
57,"3,795","1,015"
58,"3,890","1,035"
59,"3,988","1,055"
60,"4,087","1,075"
61,"4,189","1,100"
62,"4,294","1,120"
63,"4,401","1,140"
64,"4,511","1,160"
65,"4,624","1,185"
66,"4,740","1,205"
67,"4,858","1,225"
68,"4,980","1,250"
69,"5,104","1,270"
70,"5,232","1,295"
71,"5,363","1,315"
72,"5,497","1,335"
73,"5,634","1,360"
74,"5,775","1,380"
75,"5,919","1,405"
76,"6,067","1,425"
77,"6,219","1,450"
78,"6,374","1,470"
79,"6,534","1,495"
