Level,Required,FirstPlace
0,70,10
1,100,15
2,190,20
3,280,35
4,380,45
5,480,55
6,590,65
7,710,80
8,810,90
9,930,105
10,954,
11,978,
12,"1,002",
13,"1,027",
14,"1,053",
15,"1,079",
16,"1,106",
17,"1,134",
18,"1,162",
19,"1,191",
20,"1,221",
21,"1,251",
22,"1,283",
23,"1,315",
24,"1,347",
25,"1,381",
26,"1,416",
27,"1,451",
28,"1,487",
29,"1,524",
30,"1,563",
31,"1,602",
32,"1,642",
33,"1,683",
34,"1,725",
35,"1,768",
36,"1,812",
37,"1,857",
38,"1,904",
39,"1,951",
40,"2,000",
41,"2,050",
42,"2,101",
43,"2,154",
44,"2,208",
45,"2,263",
46,"2,319",
47,"2,377",
48,"2,437",
49,"2,498",
50,"2,560",
51,"2,624",
52,"2,690",
53,"2,757",
54,"2,826",
55,"2,896",
56,"2,969",
57,"3,043",
58,"3,119",
59,"3,197",
60,"3,277",
61,"3,359",
62,"3,443",
63,"3,529",
64,"3,617",
65,"3,707",
66,"3,800",
67,"3,895",
68,"3,993",
69,"4,092",
70,"4,195",
71,"4,299",
72,"4,407",
73,"4,517",
74,"4,630",
75,"4,746",
76,"4,864",
77,"4,986",
78,"5,111",
79,"5,238",
