Level,Required,FirstPlace
0,60,10
1,100,10
2,180,20
3,270,30
4,360,40
5,460,50
6,560,60
7,670,75
8,770,85
9,880,95
10,902,110
11,925,120
12,948,130
13,972,145
14,996,155
15,"1,021",170
16,"1,047",185
17,"1,073",195
18,"1,099",210
19,"1,127",225
20,"1,155",235
21,"1,184",250
22,"1,214",265
23,"1,244",280
24,"1,275",295
25,"1,307",305
26,"1,340",320
27,"1,373",335
28,"1,407",350
29,"1,442",365
30,"1,479",380
31,"1,515",395
32,"1,553",410
33,"1,592",425
34,"1,632",440
35,"1,673",455
36,"1,715",470
37,"1,757",485
38,"1,801",500
39,"1,846",515
40,"1,893",535
41,"1,940",550
42,"1,988",565
43,"2,038",580
44,"2,089",595
45,"2,141",615
46,"2,195",630
47,"2,250",645
48,"2,306",660
49,"2,363",675
50,"2,422",695
51,"2,483",710
52,"2,545",725
53,"2,609",745
54,"2,674",760
55,"2,741",775
56,"2,809",795
57,"2,879",810
58,"2,951",830
59,"3,025",845
60,"3,101",860
61,"3,178",880
62,"3,258",895
63,"3,339",915
64,"3,423",930
65,"3,508",945
66,"3,596",965
67,"3,686",985
68,"3,778","1,000"
69,"3,872","1,020"
70,"3,969","1,035"
71,"4,068","1,050"
72,"4,170","1,070"
73,"4,274","1,090"
74,"4,381","1,105"
75,"4,491","1,125"
76,"4,603","1,140"
77,"4,718","1,160"
78,"4,836","1,175"
79,"4,957","1,195"
