Level,Required,FirstPlace
0,60,10
1,90,10
2,150,20
3,240,25
4,330,35
5,410,45
6,500,50
7,600,60
8,690,70
9,790,80
10,810,90
11,830,100
12,851,115
13,873,120
14,894,135
15,917,145
16,940,155
17,963,165
18,987,180
19,"1,012",190
20,"1,037",200
21,"1,063",215
22,"1,090",225
23,"1,117",235
24,"1,145",250
25,"1,173",
26,"1,203",
27,"1,233",
28,"1,263",
29,"1,295",
30,"1,327",
31,"1,361",
32,"1,395",
33,"1,429",
34,"1,465",
35,"1,502",
36,"1,539",
37,"1,578",
38,"1,617",
39,"1,658",
40,"1,699",
41,"1,741",
42,"1,785",
43,"1,830",
44,"1,875",
45,"1,922",
46,"1,970",
47,"2,019",
48,"2,070",
49,"2,122",
50,"2,175",
51,"2,229",
52,"2,285",
53,"2,342",
54,"2,400",
55,"2,460",
56,"2,522",
57,"2,585",
58,"2,650",
59,"2,716",
60,"2,784",
61,"2,853",
62,"2,925",
63,"2,998",
64,"3,073",
65,"3,149",
66,"3,228",
67,"3,309",
68,"3,392",
69,"3,476",
70,"3,563",
71,"3,652",
72,"3,744",
73,"3,837",
74,"3,933",
75,"4,031",
76,"4,132",
77,"4,235",
78,"4,341",
79,"4,450",
