Level,Required,FirstPlace
0,50,5
1,80,10
2,140,15
3,210,25
4,290,30
5,360,40
6,440,45
7,530,55
8,610,65
9,700,70
10,718,80
11,736,90
12,754,100
13,773,110
14,792,120
15,812,125
16,833,140
17,853,150
18,875,155
19,897,170
20,919,180
21,942,190
22,965,200
23,990,210
24,"1,014",220
25,"1,040",230
26,"1,066",240
27,"1,092",250
28,"1,120",265
29,"1,148",275
30,"1,176",285
31,"1,206",295
32,"1,236",310
33,"1,267",320
34,"1,298",330
35,"1,331",340
36,"1,364",355
37,"1,398",365
38,"1,433",375
39,"1,469",390
40,"1,506",400
41,"1,543",410
42,"1,582",425
43,"1,621",435
44,"1,662",450
45,"1,703",460
46,"1,746",470
47,"1,789",485
48,"1,834",495
49,"1,880",510
50,"1,927",520
51,"1,975",535
52,"2,025",545
53,"2,075",560
54,"2,127",570
55,"2,180",585
56,"2,235",595
57,"2,291",610
58,"2,348",620
59,"2,406",635
60,"2,467",645
61,"2,528",660
62,"2,591",670
63,"2,656",685
64,"2,723",700
65,"2,791",710
66,"2,860",725
67,"2,932",735
68,"3,005",750
69,"3,080",765
70,"3,157",775
71,"3,236",790
72,"3,317",805
73,"3,400",815
74,"3,485",830
75,"3,572",845
76,"3,661",855
77,"3,753",870
78,"3,847",885
79,"3,943",895
80,"4,042",910
81,"4,143",925
82,"4,246",935
83,"4,352",950
84,"4,461",965
85,"4,573",980
86,"4,687",990
87,"4,804","1,005"
88,"4,924","1,020"
89,"5,047","1,035"
90,"5,173","1,045"
91,"5,303","1,060"
92,"5,435","1,075"
93,"5,571","1,090"
94,"5,710","1,105"
95,"5,853","1,115"
96,"5,999","1,130"
97,"6,149","1,145"
98,"6,303","1,160"
99,"6,461","1,175"
100,,"1,185"
101,,"1,200"
102,,"1,215"
103,,"1,230"
104,,"1,245"
105,,"1,260"
106,,"1,275"
107,,"1,285"
108,,"1,300"
109,,"1,315"
110,,"1,330"
111,,"1,345"
112,,"1,360"
113,,"1,375"
114,,"1,390"
115,,"1,405"
116,,"1,415"
117,,"1,430"
118,,"1,445"
119,,"1,460"
120,,"1,475"
121,,"1,490"
122,,"1,505"
123,,"1,520"
124,,"1,535"
125,,"1,550"
126,,"1,565"
127,,"1,580"
128,,"1,595"
129,,"1,610"
130,,"1,625"
131,,"1,640"
132,,"1,655"
133,,"1,670"
134,,"1,685"
135,,"1,700"
136,,"1,715"
137,,"1,730"
138,,"1,745"
139,,"1,760"
