Level,Required,FirstPlace
0,60,10
1,90,10
2,150,20
3,240,30
4,330,35
5,410,45
6,500,55
7,600,65
8,690,75
9,790,85
10,810,95
11,830,105
12,851,120
13,873,130
14,894,140
15,917,155
16,940,165
17,963,175
18,987,190
19,"1,012",200
20,"1,037",215
21,"1,063",225
22,"1,090",240
23,"1,117",250
24,"1,145",265
25,"1,173",275
26,"1,203",290
27,"1,233",300
28,"1,263",315
29,"1,295",330
30,"1,327",340
31,"1,361",355
32,"1,395",370
33,"1,429",385
34,"1,465",395
35,"1,502",410
36,"1,539",425
37,"1,578",440
38,"1,617",450
39,"1,658",465
40,"1,699",480
41,"1,741",495
42,"1,785",510
43,"1,830",525
44,"1,875",535
45,"1,922",550
46,"1,970",565
47,"2,019",580
48,"2,070",595
49,"2,122",610
50,"2,175",625
51,"2,229",640
52,"2,285",655
53,"2,342",670
54,"2,400",685
55,"2,460",700
56,"2,522",715
57,"2,585",730
58,"2,650",745
59,"2,716",760
60,"2,784",775
61,"2,853",790
62,"2,925",805
63,"2,998",820
64,"3,073",835
65,"3,149",855
66,"3,228",870
67,"3,309",885
68,"3,392",900
69,"3,476",915
70,"3,563",930
71,"3,652",945
72,"3,744",965
73,"3,837",980
74,"3,933",995
75,"4,031","1,010"
76,"4,132","1,025"
77,"4,235","1,045"
78,"4,341","1,060"
79,"4,450","1,075"
80,,"1,090"
81,,"1,110"
82,,"1,125"
83,,"1,140"
84,,"1,160"
85,,"1,175"
86,,"1,190"
87,,"1,205"
88,,"1,225"
89,,"1,240"
90,,"1,255"
91,,"1,275"
92,,"1,290"
93,,"1,305"
94,,"1,325"
95,,"1,340"
96,,"1,355"
97,,"1,375"
98,,"1,390"
99,,"1,410"
100,,"1,425"
101,,"1,440"
102,,"1,460"
103,,"1,475"
104,,"1,490"
105,,"1,510"
106,,"1,525"
107,,"1,545"
108,,"1,560"
109,,"1,580"
110,,"1,595"
111,,"1,615"
112,,"1,630"
113,,"1,650"
114,,"1,665"
115,,"1,685"
116,,"1,700"
117,,"1,715"
118,,"1,735"
119,,"1,755"
