Level,Required,FirstPlace
0,50,5
1,90,10
2,150,15
3,220,25
4,310,35
5,380,40
6,480,50
7,560,60
8,650,65
9,740,75
10,759,85
11,778,95
12,797,105
13,817,115
14,838,125
15,859,135
16,880,145
17,902,155
18,925,170
19,948,180
20,971,190
21,996,200
22,"1,021",210
23,"1,046",225
24,"1,072",235
25,"1,099",245
26,"1,126",260
27,"1,155",270
28,"1,184",280
29,"1,213",295
30,"1,243",305
31,"1,274",315
32,"1,306",330
33,"1,339",340
34,"1,372",350
35,"1,407",365
36,"1,442",375
37,"1,478",390
38,"1,515",400
39,"1,553",415
40,"1,592",425
41,"1,631",440
42,"1,672",450
43,"1,714",465
44,"1,757",480
45,"1,801",490
46,"1,846",505
47,"1,892",515
48,"1,939",530
49,"1,987",540
50,"2,037",
51,"2,088",
52,"2,140",
53,"2,194",
54,"2,249",
55,"2,305",
56,"2,362",
57,"2,421",
58,"2,482",
59,"2,544",
60,"2,608",
61,"2,673",
62,"2,740",
63,"2,808",
64,"2,878",
65,"2,950",
66,"3,024",
67,"3,099",
68,"3,177",
69,"3,256",
70,"3,338",
71,"3,421",
72,"3,507",
73,"3,594",
74,"3,684",
75,"3,776",
76,"3,871",
77,"3,967",
78,"4,067",
79,"4,168",
