Level,Required,FirstPlace
0,50,5
1,60,10
2,120,15
3,190,20
4,240,25
5,320,35
6,380,40
7,460,50
8,530,55
9,600,65
10,615,70
11,631,80
12,647,85
13,663,95
14,679,100
15,696,110
16,714,120
17,732,130
18,750,135
19,769,145
20,788,155
21,807,165
22,828,175
23,848,180
24,869,190
25,891,200
26,913,210
27,936,220
28,960,230
29,984,240
30,"1,008",250
31,"1,033",255
32,"1,059",265
33,"1,086",275
34,"1,113",285
35,"1,141",295
36,"1,169",305
37,"1,198",315
38,"1,228",325
39,"1,259",335
40,"1,291",345
41,"1,323",360
42,"1,356",370
43,"1,390",380
44,"1,424",390
45,"1,460",400
46,"1,497",410
47,"1,534",420
48,"1,572",430
49,"1,612",440
50,"1,652",450
51,"1,693",465
52,"1,735",475
53,"1,779",485
54,"1,823",495
55,"1,869",505
56,"1,916",515
57,"1,963",525
58,"2,012",540
59,"2,063",550
60,"2,114",560
61,"2,167",570
62,"2,221",585
63,"2,277",595
64,"2,334",605
65,"2,392",615
66,"2,452",625
67,"2,513",640
68,"2,576",650
69,"2,640",660
70,"2,706",675
71,"2,774",685
72,"2,843",695
73,"2,914",705
74,"2,987",720
75,"3,062",730
76,"3,138",740
77,"3,217",755
78,"3,297",765
79,"3,380",775
