Level,Required,FirstPlace
0,90,10
1,130,15
2,240,25
3,370,40
4,490,50
5,630,65
6,770,80
7,910,95
8,"1,060",110
9,"1,210",125
10,"1,241",140
11,"1,272",155
12,"1,304",170
13,"1,336",185
14,"1,370",205
15,"1,404",220
16,"1,439",235
17,"1,475",255
18,"1,512",270
19,"1,549",290
20,"1,588",305
21,"1,628",325
22,"1,668",345
23,"1,710",360
24,"1,753",380
25,"1,797",400
26,"1,842",415
27,"1,888",435
28,"1,935",455
29,"1,983",475
30,"2,033",495
31,"2,084",510
32,"2,136",530
33,"2,189",550
34,"2,244",570
35,"2,300",590
36,"2,357",610
37,"2,416",630
38,"2,477",650
39,"2,539",670
40,"2,602",690
41,"2,667",715
42,"2,734",735
43,"2,802",755
44,"2,872",775
45,"2,944",795
46,"3,017",815
47,"3,093",840
48,"3,170",860
49,"3,249",880
50,"3,331",900
51,"3,414",925
52,"3,499",945
53,"3,587",965
54,"3,676",990
55,"3,768",1010
56,"3,862",1030
57,"3,959",1055
58,"4,058",1075
59,"4,159",1095
60,"4,263",1120
61,"4,370",1140
62,"4,479",1165
63,"4,591",1185
64,"4,706",1210
65,"4,824",1230
66,"4,944",1255
67,"5,068",1275
68,"5,194",1300
69,"5,324",1320
70,"5,457",1345
71,"5,594",1365
72,"5,734",1390
73,"5,877",1415
74,"6,024",1435
75,"6,174",
76,"6,329",
77,"6,487",
78,"6,649",
79,"6,815",
