Level,Required,FirstPlace
0,60,10
1,100,15
2,180,20
3,270,30
4,360,40
5,460,55
6,560,65
7,670,75
8,770,85
9,880,100
10,902,115
11,925,125
12,948,140
13,972,150
14,996,165
15,"1,021",180
16,"1,047",190
17,"1,073",205
18,"1,099",220
19,"1,127",235
20,"1,155",250
21,"1,184",265
22,"1,214",280
23,"1,244",290
24,"1,275",305
25,"1,307",320
26,"1,340",335
27,"1,373",355
28,"1,407",365
29,"1,442",385
30,"1,479",400
31,"1,515",415
32,"1,553",430
33,"1,592",445
34,"1,632",460
35,"1,673",480
36,"1,715",495
37,"1,757",510
38,"1,801",525
39,"1,846",545
40,"1,893",560
41,"1,940",575
42,"1,988",590
43,"2,038",610
44,"2,089",625
45,"2,141",645
46,"2,195",660
47,"2,250",675
48,"2,306",695
49,"2,363",710
50,"2,422",730
51,"2,483",745
52,"2,545",765
53,"2,609",780
54,"2,674",800
55,"2,741",815
56,"2,809",835
57,"2,879",850
58,"2,951",870
59,"3,025",885
60,"3,101",905
61,"3,178",920
62,"3,258",940
63,"3,339",960
64,"3,423",975
65,"3,508",995
66,"3,596","1,015"
67,"3,686","1,030"
68,"3,778","1,050"
69,"3,872","1,070"
70,"3,969","1,085"
71,"4,068","1,105"
72,"4,170","1,125"
73,"4,274","1,140"
74,"4,381","1,160"
75,"4,491","1,180"
76,"4,603","1,200"
77,"4,718","1,215"
78,"4,836","1,235"
79,"4,957","1,255"
