Level,Required,FirstPlace
0,20,5
1,40,10
2,60,15
3,130,20
4,210,30
5,290,35
6,370,45
7,460,50
8,550,60
9,650,65
10,667,
11,683,
12,700,
13,718,
14,736,
15,754,
16,773,
17,792,
18,812,
19,833,
20,853,
21,875,
22,897,
23,919,
24,942,
25,965,
26,990,
27,"1,014",
28,"1,040",
29,"1,066",
30,"1,092",
31,"1,120",
32,"1,147",
33,"1,176",
34,"1,206",
35,"1,236",
36,"1,267",
37,"1,298",
38,"1,331",
39,"1,364",
40,"1,398",
41,"1,433",
42,"1,469",
43,"1,505",
44,"1,543",
45,"1,582",
46,"1,621",
47,"1,662",
48,"1,703",
49,"1,746",
50,"1,789",
51,"1,834",
52,"1,880",
53,"1,927",
54,"1,975",
55,"2,025",
56,"2,075",
57,"2,127",
58,"2,180",
59,"2,235",
60,"2,290",
61,"2,348",
62,"2,406",
63,"2,467",
64,"2,528",
65,"2,591",
66,"2,656",
67,"2,723",
68,"2,791",
69,"2,860",
70,"2,932",
71,"3,005",
72,"3,080",
73,"3,157",
74,"3,236",
75,"3,317",
76,"3,400",
77,"3,485",
78,"3,572",
79,"3,661",
