Level,Required,FirstPlace
0,80,10
1,120,15
2,230,25
3,340,35
4,450,45
5,580,60
6,710,75
7,850,85
8,980,100
9,"1,110",115
10,"1,138",130
11,"1,167",145
12,"1,196",160
13,"1,226",170
14,"1,256",190
15,"1,288",205
16,"1,320",220
17,"1,353",235
18,"1,387",250
19,"1,421",265
20,"1,457",285
21,"1,493",300
22,"1,531",315
23,"1,569",335
24,"1,608",350
25,"1,648",370
26,"1,689",385
27,"1,732",400
28,"1,775",420
29,"1,819",440
30,"1,865",455
31,"1,911",475
32,"1,959",490
33,"2,008",510
34,"2,058",525
35,"2,110",545
36,"2,163",565
37,"2,217",585
38,"2,272",600
39,"2,329",620
40,"2,387",640
41,"2,447",660
42,"2,508",675
43,"2,571",695
44,"2,635",715
45,"2,701",755
46,"2,768",775
47,"2,837",795
48,"2,908",815
49,"2,981",830
50,"3,055",850
51,"3,132",870
52,"3,210",895
53,"3,290",910
54,"3,373",930
55,"3,457",950
56,"3,543",970
57,"3,632",995
58,"3,723","1,015"
59,"3,816","1,035"
60,"3,911","1,055"
61,"4,009","1,075"
62,"4,109","1,095"
63,"4,212","1,115"
64,"4,317","1,135"
65,"4,425","1,155"
66,"4,536","1,180"
67,"4,649","1,200"
68,"4,765","1,220"
69,"4,884","1,240"
70,"5,006","1,260"
71,"5,132","1,305"
72,"5,260","1,325"
73,"5,391","1,350"
74,"5,526","1,370"
75,"5,664","1,390"
76,"5,806","1,410"
77,"5,951","1,435"
78,"6,100","1,455"
79,"6,252","1,475"
80,"6,408","1,500"
81,"6,569","1,520"
82,"6,733","1,545"
83,"6,901","1,565"
84,"7,074","1,585"
85,"7,250","1,610"
86,"7,432","1,630"
87,"7,618","1,650"
88,"7,808","1,675"
89,"8,003","1,695"
90,"8,203","1,720"
91,"8,408","1,740"
92,"8,618","1,765"
93,"8,834","1,785"
94,"9,055","1,810"
95,"9,281","1,830"
96,"9,513","1,855"
97,"9,751","1,875"
98,"9,995","1,900"
99,"10,245","1,920"
