Level,Required,FirstPlace
0,50,5
1,80,10
2,140,15
3,210,25
4,290,30
5,360,40
6,440,45
7,530,55
8,610,65
9,700,70
10,718,80
11,736,90
12,754,100
13,773,110
14,792,120
15,812,125
16,833,140
17,853,150
18,875,155
19,897,170
20,919,
21,942,
22,965,
23,990,
24,"1,014",
25,"1,040",
26,"1,066",
27,"1,092",
28,"1,120",
29,"1,148",
30,"1,176",
31,"1,206",
32,"1,236",
33,"1,267",
34,"1,298",
35,"1,331",
36,"1,364",
37,"1,398",
38,"1,433",
39,"1,469",
40,"1,506",
41,"1,543",
42,"1,582",
43,"1,621",
44,"1,662",
45,"1,703",
46,"1,746",
47,"1,789",
48,"1,834",
49,"1,880",
50,"1,927",
51,"1,975",
52,"2,025",
53,"2,075",
54,"2,127",
55,"2,180",
56,"2,235",
57,"2,291",
58,"2,348",
59,"2,406",
60,"2,467",
61,"2,528",
62,"2,591",
63,"2,656",
64,"2,723",
65,"2,791",
66,"2,860",
67,"2,932",
68,"3,005",
69,"3,080",
70,"3,157",
71,"3,236",
72,"3,317",
73,"3,400",
74,"3,485",
75,"3,572",
76,"3,661",
77,"3,753",
78,"3,847",
79,"3,943",
