Level,Required,FirstPlace
0,50,5
1,70,10
2,130,15
3,200,20
4,270,30
5,330,35
6,420,45
7,490,50
8,570,60
9,650,65
10,667,75
11,683,85
12,700,95
13,718,100
14,736,110
15,754,120
16,773,130
17,792,140
18,812,150
19,833,155
20,853,165
21,875,175
22,897,185
23,919,195
24,942,205
25,965,215
26,990,225
27,"1,014",235
28,"1,040",245
29,"1,066",255
30,"1,092",265
31,"1,120",275
32,"1,147",285
33,"1,176",300
34,"1,206",310
35,"1,236",320
36,"1,267",330
37,"1,298",340
38,"1,331",350
39,"1,364",365
40,"1,398",375
41,"1,433",385
42,"1,469",395
43,"1,505",405
44,"1,543",420
45,"1,582",430
46,"1,621",440
47,"1,662",450
48,"1,703",465
49,"1,746",475
50,"1,789",485
51,"1,834",500
52,"1,880",510
53,"1,927",520
54,"1,975",535
55,"2,025",
56,"2,075",
57,"2,127",
58,"2,180",
59,"2,235",
60,"2,290",
61,"2,348",
62,"2,406",
63,"2,467",
64,"2,528",
65,"2,591",
66,"2,656",
67,"2,723",
68,"2,791",
69,"2,860",
70,"2,932",
71,"3,005",
72,"3,080",
73,"3,157",
74,"3,236",
75,"3,317",
76,"3,400",
77,"3,485",
78,"3,572",
79,"3,661",
