Level,Required,FirstPlace
0,90,10
1,140,15
2,250,25
3,380,40
4,520,55
5,650,70
6,800,80
7,940,95
8,"1,110",115
9,"1,250",125
10,"1,282",145
11,"1,314",160
12,"1,347",175
13,"1,380",195
14,"1,415",210
15,"1,450",230
16,"1,486",245
17,"1,524",265
18,"1,562",280
19,"1,601",300
20,"1,641",320
21,"1,682",335
22,"1,724",355
23,"1,767",375
24,"1,811",395
25,"1,856",415
26,"1,903",435
27,"1,950",455
28,"1,999",470
29,"2,049",490
30,"2,100",510
31,"2,152",535
32,"2,206",550
33,"2,261",575
34,"2,318",595
35,"2,376",615
36,"2,435",635
37,"2,496",655
38,"2,559",675
39,"2,622",700
40,"2,688",935
41,"2,755",960
42,"2,824",980
43,"2,895",1005
44,"2,967",1025
45,"3,041",1050
46,"3,117",1070
47,"3,195",1095
48,"3,275",1115
49,"3,357",1140
50,"3,441",
51,"3,527",
52,"3,615",
53,"3,705",
54,"3,798",
55,"3,893",
56,"3,990",
57,"4,090",
58,"4,192",
59,"4,297",
60,"4,404",
61,"4,514",
62,"4,627",
63,"4,743",
64,"4,861",
65,"4,983",
66,"5,108",
67,"5,235",
68,"5,366",
69,"5,500",
70,"5,638",
71,"5,779",
72,"5,923",
73,"6,071",
74,"6,223",
75,"6,379",
76,"6,538",
77,"6,701",
78,"6,869",
79,"7,041",
