Level,Required,FirstPlace
0,60,10
1,100,10
2,180,20
3,270,30
4,360,40
5,460,50
6,560,60
7,670,75
8,770,85
9,880,95
10,902,110
11,925,120
12,948,130
13,972,
14,996,
15,"1,021",
16,"1,047",
17,"1,073",
18,"1,099",
19,"1,127",
20,"1,155",
21,"1,184",
22,"1,214",
23,"1,244",
24,"1,275",
25,"1,307",
26,"1,340",
27,"1,373",
28,"1,407",
29,"1,442",
30,"1,479",
31,"1,515",
32,"1,553",
33,"1,592",
34,"1,632",
35,"1,673",
36,"1,715",
37,"1,757",
38,"1,801",
39,"1,846",
40,"1,893",
41,"1,940",
42,"1,988",
43,"2,038",
44,"2,089",
45,"2,141",
46,"2,195",
47,"2,250",
48,"2,306",
49,"2,363",
50,"2,422",
51,"2,483",
52,"2,545",
53,"2,609",
54,"2,674",
55,"2,741",
56,"2,809",
57,"2,879",
58,"2,951",
59,"3,025",
60,"3,101",
61,"3,178",
62,"3,258",
63,"3,339",
64,"3,423",
65,"3,508",
66,"3,596",
67,"3,686",
68,"3,778",
69,"3,872",
70,"3,969",
71,"4,068",
72,"4,170",
73,"4,274",
74,"4,381",
75,"4,491",
76,"4,603",
77,"4,718",
78,"4,836",
79,"4,957",
