Level,Required,FirstPlace
0,40,5
1,60,10
2,100,10
3,150,15
4,210,25
5,270,30
6,330,35
7,380,40
8,450,45
9,510,55
10,523,60
11,536,65
12,550,75
13,563,80
14,578,85
15,592,95
16,607,100
17,622,110
18,637,115
19,653,125
20,670,130
21,686,140
22,704,145
23,721,155
24,739,160
25,758,170
26,777,180
27,796,185
28,816,195
29,836,200
30,857,210
31,879,220
32,900,225
33,923,235
34,946,245
35,970,250
36,994,260
37,"1,019",270
38,"1,044",275
39,"1,070",285
40,"1,097",295
41,"1,124",300
42,"1,153",310
43,"1,181",320
44,"1,211",330
45,"1,241",340
46,"1,272",345
47,"1,304",355
48,"1,336",365
49,"1,370",375
50,"1,404",380
51,"1,439",390
52,"1,475",400
53,"1,512",410
54,"1,550",420
55,"1,589",430
56,"1,628",440
57,"1,669",445
58,"1,711",455
59,"1,753",465
60,"1,797",475
61,"1,842",485
62,"1,888",495
63,"1,935",505
64,"1,984",510
65,"2,033",520
66,"2,084",530
67,"2,136",540
68,"2,190",550
69,"2,244",560
70,"2,300",570
71,"2,358",580
72,"2,417",590
73,"2,477",600
74,"2,539",610
75,"2,603",620
76,"2,668",630
77,"2,734",640
78,"2,803",650
79,"2,873",660
80,"2,945",670
81,"3,018",680
82,"3,094",690
83,"3,171",700
84,"3,250",710
85,"3,332",720
86,"3,415",730
87,"3,500",740
88,"3,588",750
89,"3,677",760
90,"3,769",770
91,"3,864",780
92,"3,960",790
93,"4,059",800
94,"4,161",810
95,"4,265",820
96,"4,371",830
97,"4,480",840
98,"4,592",850
99,"4,707",860
