Level,Required,FirstPlace
0,70,10
1,100,15
2,190,20
3,280,35
4,380,45
5,480,55
6,590,65
7,710,80
8,810,90
9,930,105
10,954,120
11,978,130
12,"1,002",145
13,"1,027",160
14,"1,053",175
15,"1,079",185
16,"1,106",200
17,"1,134",215
18,"1,162",230
19,"1,191",245
20,"1,221",260
21,"1,251",275
22,"1,283",290
23,"1,315",305
24,"1,347",320
25,"1,381",335
26,"1,416",355
27,"1,451",370
28,"1,487",385
29,"1,524",400
30,"1,563",420
31,"1,602",435
32,"1,642",450
33,"1,683",465
34,"1,725",485
35,"1,768",500
36,"1,812",515
37,"1,857",535
38,"1,904",550
39,"1,951",570
40,"2,000",585
41,"2,050",605
42,"2,101",620
43,"2,154",640
44,"2,208",655
45,"2,263",675
46,"2,319",690
47,"2,377",710
48,"2,437",730
49,"2,498",745
50,"2,560",765
51,"2,624",780
52,"2,690",800
53,"2,757",820
54,"2,826",835
55,"2,896",855
56,"2,969",875
57,"3,043",890
58,"3,119",910
59,"3,197",930
60,"3,277",945
61,"3,359",965
62,"3,443",985
63,"3,529","1,005"
64,"3,617","1,025"
65,"3,707","1,040"
66,"3,800","1,060"
67,"3,895","1,080"
68,"3,993","1,100"
69,"4,092","1,120"
70,"4,195","1,140"
71,"4,299","1,155"
72,"4,407","1,175"
73,"4,517","1,195"
74,"4,630","1,215"
75,"4,746","1,235"
76,"4,864","1,255"
77,"4,986","1,275"
78,"5,111","1,295"
79,"5,238","1,315"
